Results for the lattice constant convegence in Ta2C

lattice constant (Angstrom)           total energy / Ry
6.0       -979.51177496
6.01       -979.51311426
6.02       -979.51424816
6.03       -979.51518071
6.04       -979.51591584
6.05       -979.51645636
6.06       -979.51680535
6.07       -979.51696581
6.08       -979.51694062
6.09       -979.51673386
6.1       -979.51634755
6.11       -979.51578560
6.12       -979.51505001
6.13       -979.51414415
6.14       -979.51307045
6.15       -979.51183276
6.16       -979.51043369
6.17       -979.50887520
6.18       -979.50716000
