Results for the ecutwfc convegence in Ta2C
For number of kpts = 74
ecutwfc          total energy / Ry
60            -489.75580543
65            -489.75651098
70            -489.75683111
75            -489.75696543
80            -489.75705704
90            -489.75730204
95            -489.75744395
100            -489.75757456
105            -489.75768237
110            -489.75776343
115            -489.75781656
120            -489.75784683
125            -489.75786308
130            -489.75787436
135            -489.75788717
140            -489.75790343
145            -489.75792337
150            -489.75794528
155            -489.75796763
160            -489.75798904
165            -489.75800852
170            -489.75802471
175            -489.75803702
180            -489.75804570
200            -489.75806077
205            -489.75806361
210            -489.75806702
215            -489.75807113
220            -489.75807589
225            -489.75808112
230            -489.75808659
235            -489.75809199
240            -489.75809709
245            -489.75810164
250            -489.75810548
255            -489.75810853
260            -489.75811086
265            -489.75811249
270            -489.75811359
275            -489.75811430
280            -489.75811487
285            -489.75811541
290            -489.75811606
295            -489.75811693
300            -489.75811803
