Results for the k pts convegence in Ta2C

n       kpts            total energy / Ry
8       34           -489.75804287
10       52           -489.75806347
12       74           -489.75806077
14       100           -489.75806082
16       130           -489.75806088
18       164           -489.75806087
20       202           -489.75806087
22       244           -489.75806087
24       290           -489.75806087
26       340           -489.75806087
28       394           -489.75806087
30       452           -489.75806087
