Results for the lattice constant convegence in Ta2C

lattice constant (Angstrom)           total energy / Ry
5.8       -489.71763878
5.85       -489.73175265
5.9       -489.74257145
5.95       -489.75034475
6.0       -489.75530605
6.05       -489.75767362
6.052       -489.75771737
6.054       -489.75775720
6.056       -489.75779338
6.058       -489.75782568
6.06       -489.75785437
6.062       -489.75787907
6.064       -489.75790013
6.066       -489.75791741
6.068       -489.75793105
6.07       -489.75794093
6.072       -489.75794716
6.074       -489.75794975
6.076       -489.75794864
6.078       -489.75794375
6.08       -489.75793525
6.082       -489.75792307
6.084       -489.75790726
6.086       -489.75788790
6.088       -489.75786494
6.09       -489.75783850
6.092       -489.75780841
6.094       -489.75777485
6.096       -489.75773764
6.098       -489.75769687
6.1       -489.75765254
6.15       -489.75543370
6.2       -489.75119667
6.25       -489.74510774
6.3       -489.73732435
6.35       -489.72799233
6.4       -489.71724753
