Results for the ecutwfc convegence in Ta2C
For number of kpts = 74
ecutwfc          total energy / Ry
60            -1373.24283704
65            -1373.24626050
70            -1373.24749231
75            -1373.24790325
80            -1373.24830765
85            -1373.24890634
90            -1373.24956865
95            -1373.25012217
100            -1373.25048158
105            -1373.25066720
110            -1373.25074860
115            -1373.25079881
120            -1373.25085977
125            -1373.25094396
130            -1373.25104361
135            -1373.25114657
140            -1373.25124184
145            -1373.25132260
150            -1373.25138718
155            -1373.25143700
160            -1373.25147545
165            -1373.25150543
