Results for the ecutwfc convegence in Ta2C
For number of kpts = 74
ecutwfc          total energy / Ry
60            -1375.69283565
65            -1375.69598274
70            -1375.69710885
75            -1375.69757947
80            -1375.69805174
85            -1375.69865485
90            -1375.69929719
95            -1375.69983967
100            -1375.70019697
105            -1375.70038473
110            -1375.70047120
115            -1375.70052372
120            -1375.70058624
125            -1375.70067158
130            -1375.70077363
135            -1375.70087743
140            -1375.70097390
145            -1375.70105486
150            -1375.70111920
155            -1375.70116988
160            -1375.70120847
165            -1375.70123862
170            -1375.70126244
175            -1375.70128243
180            -1375.70130004
185            -1375.70131655
200            -1375.70137139
220            -1375.70145204
240            -1375.70149084
260            -1375.70150587
280            -1375.70153346
300            -1375.70155913
