Results for the lattice constant convegence in Ta2C

lattice constant (Angstrom)           total energy / Ry
5.4       -1373.23199782
5.425       -1373.23807148
5.45       -1373.24301960
5.475       -1373.24688763
5.5       -1373.24971747
5.525       -1373.25155146
5.55       -1373.25242900
5.575       -1373.25239067
5.6       -1373.25147344
5.625       -1373.24971446
5.65       -1373.24714739
5.675       -1373.24380737
5.7       -1373.23972705
5.725       -1373.23493945
5.75       -1373.22947314
5.775       -1373.22336058
5.8       -1373.21662931
5.9       -1373.18406874
6.0       -1373.14370081
6.1       -1373.09697390
6.2       -1373.04514653
